1,2,3
3,4,6
5,6,4
7,8,4
9,10,4
11,12,4
13,14,6
15,16,6
15,17,12
15,18,3
15,19,3
20,21,4
22,23,8
24,25,4
24,26,4
24,27,4
24,28,4
29,30,3
31,32,8
31,33,3
34,17,4
35,36,4
35,37,3
38,39,10
40,32,6
41,42,4
43,44,6
43,45,3
46,47,4
48,49,4
50,51,4
52,53,4
52,54,4
52,49,4
52,17,8
52,10,6
52,55,4
52,56,3
57,17,3
58,37,4
59,60,7
59,49,3
61,17,3
62,17,5
63,64,4
65,49,4
66,10,6
66,67,4
68,17,6
68,49,12
68,69,3
70,71,4
72,73,4
72,74,4
75,76,3
77,78,4
77,79,4
77,80,4
77,81,4
82,83,3
84,85,3
86,49,26
86,18,3
86,87,3
86,88,4
86,32,5
86,17,54
86,89,3
86,90,16
86,91,6
86,92,3
93,94,3
95,96,4
97,98,8
97,99,4
100,101,6
102,17,5
103,104,4
105,106,3
107,37,3
108,109,8
110,111,6
110,112,4
113,114,4
115,116,3
117,17,5
117,118,4
119,17,4
120,121,4
120,122,5
120,17,5
120,90,4
123,124,4
125,126,4
127,128,4
129,16,3
129,17,3
129,130,4
129,131,3
129,90,3
129,112,4
132,133,4
134,54,4
135,136,4
137,138,4
139,140,4
141,142,4
141,143,4
141,144,3
145,146,4
145,147,4
148,149,4
150,151,4
152,153,6
154,155,5
156,17,3
157,17,4
158,159,6
160,153,4
161,162,4
163,164,4
165,10,5
165,112,3
166,10,4
167,54,4
168,39,3
169,49,4
169,170,4
171,172,4
173,174,4
175,176,4
177,60,4
178,16,4
178,18,3
178,10,4
178,179,4
180,17,5
181,182,4
183,184,3
185,32,4
186,187,4
188,189,12
188,190,8
191,192,3
193,194,4
195,196,3
197,133,4
198,199,4
200,201,4
202,203,4
204,17,6
205,17,3
206,207,9
208,209,6
210,211,4
212,212,3
213,25,6
213,214,3
215,17,3
216,17,3
217,17,3
218,219,4
220,17,3
221,222,4
223,219,6
224,209,4
225,226,6
227,228,4
229,230,4
231,131,4
232,233,3
234,235,4
236,237,4
238,239,6
238,240,4
241,17,3
242,243,8
244,245,3
244,246,3
244,247,3
248,249,4
248,250,5
248,251,12
248,252,4
253,254,4
253,255,4
256,55,6
257,258,4
259,260,4
261,260,4
262,17,8
262,49,4
263,264,8
265,266,4
267,268,3
267,269,4
267,270,4
267,271,5
267,272,4
267,273,3
267,274,4
267,275,3
267,276,4
267,277,4
267,278,4
267,279,4
267,267,6
267,280,15
267,281,5
267,282,3
267,283,3
267,284,3
267,285,3
267,286,3
267,287,3
267,288,3
267,289,3
267,290,5
267,291,4
267,292,4
293,294,3
295,296,4
295,17,4
295,10,8
297,298,4
299,17,4
300,17,4
301,302,4
303,304,10
305,306,4
305,17,6
305,307,6
305,308,5
309,222,4
310,116,3
311,10,10
312,313,4
312,49,4
314,315,4
316,317,3
318,319,4
320,321,11
320,322,22
320,323,3
320,320,9
320,324,18
320,325,3
320,326,4
320,327,6
328,329,4
328,330,4
331,332,3
333,32,8
333,182,8
333,334,4
335,336,4
335,17,3
335,116,3
337,338,6
339,340,6
341,342,6
343,32,6
343,10,39
344,345,4
346,347,4
348,17,3
349,17,3
350,351,4
352,17,3
353,17,5
354,355,4
354,356,4
354,357,4
358,359,4
360,18,10
361,362,4
363,25,4
363,364,6
363,55,4
363,112,4
365,17,3
366,60,5
366,49,3
367,368,4
369,49,4
370,371,3
372,17,3
372,373,4
372,179,8
374,375,3
376,298,10
376,377,4
378,379,4
378,380,4
378,381,4
378,382,4
378,383,4
384,17,3
385,32,4
385,386,4
385,55,4
385,90,4
385,60,6
387,388,3
389,49,4
