1,2,3
3,4,4
5,6,6
5,7,4
5,8,4
5,9,5
10,11,6
12,4,4
13,14,4
15,16,5
17,18,4
17,19,6
17,20,4
21,22,5
21,23,5
21,24,6
25,16,3
26,22,3
26,24,3
27,28,3
29,29,4
30,31,8
32,33,22
34,35,8
36,37,4
38,39,4
40,41,3
40,42,8
40,43,3
40,24,4
44,24,4
44,45,10
46,47,4
48,49,4
48,50,4
51,51,3
51,52,4
53,54,3
55,24,3
56,57,3
56,58,4
56,22,4
56,59,4
56,60,6
56,61,4
62,63,4
62,22,4
62,64,4
62,65,4
62,66,3
67,68,4
67,69,8
67,70,6
67,71,6
67,72,6
67,73,6
67,74,12
67,75,4
67,76,10
67,77,30
67,78,4
67,79,4
67,80,4
67,81,10
67,82,6
67,83,4
67,84,6
67,85,6
67,86,6
67,87,4
67,88,4
67,89,18
67,90,4
67,91,14
67,92,4
67,93,6
67,94,6
67,95,6
67,96,6
67,97,4
67,98,4
67,99,8
67,100,18
67,101,4
67,102,6
67,103,4
67,104,4
67,105,4
67,106,6
67,107,6
67,108,4
67,109,8
67,110,4
67,111,6
67,112,4
67,113,4
67,114,4
67,115,10
67,116,4
67,117,6
67,118,6
67,119,6
67,120,8
67,121,4
67,122,4
67,123,4
67,124,4
67,125,4
67,126,4
67,127,4
67,128,4
67,129,3
67,130,4
67,131,6
67,132,8
67,133,4
67,134,4
67,135,4
67,136,14
67,137,6
67,138,4
67,139,4
67,140,4
67,141,24
67,142,4
67,143,4
67,144,4
67,145,4
67,146,6
67,147,8
67,148,6
67,149,4
67,150,8
67,151,4
67,152,10
67,153,4
67,154,4
67,155,4
67,156,6
67,157,4
67,158,6
67,159,4
67,160,4
67,161,8
67,162,4
67,163,4
67,164,4
67,165,6
67,166,4
67,167,4
67,168,4
67,169,4
67,22,18
67,170,4
67,171,10
67,172,4
67,173,6
67,174,6
67,175,4
67,176,4
67,177,4
67,178,4
67,179,4
67,180,4
67,181,4
67,182,4
67,183,4
67,184,8
67,185,4
67,186,8
67,187,4
67,188,6
67,189,6
67,190,20
67,191,4
67,192,14
67,193,4
67,194,4
67,195,4
67,196,6
67,197,8
67,198,4
67,199,4
67,200,4
67,201,4
67,202,6
67,203,6
67,204,4
67,205,4
67,206,6
67,207,6
67,208,8
67,209,4
67,210,4
67,211,4
67,212,6
67,213,10
67,214,6
67,215,6
67,216,4
67,217,6
67,218,6
67,219,4
67,220,8
67,221,4
67,222,4
67,223,4
67,224,5
67,225,5
67,226,4
67,227,20
67,228,7
67,229,4
67,230,6
67,231,6
67,232,418
67,233,4
67,234,4
67,235,4
67,236,6
67,237,6
67,238,6
67,239,4
67,240,4
67,241,18
67,242,4
67,243,6
67,244,10
67,245,4
67,246,4
67,247,4
67,248,4
67,249,8
67,250,4
67,251,4
67,252,6
67,253,8
67,254,4
67,255,4
67,256,8
67,257,4
67,258,6
67,259,30
67,260,4
67,261,4
67,262,8
67,263,4
67,264,16
67,265,4
67,266,4
67,267,4
67,268,4
67,269,4
67,270,6
67,271,8
67,272,4
67,273,6
67,274,12
67,275,36
67,276,8
67,277,4
67,278,4
67,279,4
67,280,14
67,281,4
67,282,10
67,283,4
67,284,4
67,285,6
67,286,4
67,287,6
67,288,4
67,289,4
67,290,4
67,291,4
67,292,4
67,293,5
67,294,6
67,295,4
67,296,4
67,297,6
67,298,3
67,299,6
67,300,8
67,301,34
67,302,8
67,303,10
67,304,4
67,305,7
67,306,5
67,307,6
67,308,4
67,309,4
67,310,38
67,311,4
67,312,4
67,313,6
67,314,6
67,315,6
67,316,16
67,317,4
67,318,10
67,319,4
67,320,8
67,321,10
67,322,4
67,323,4
67,324,6
67,325,6
67,326,4
67,327,6
67,328,4
67,329,16
67,330,4
67,331,6
67,332,4
67,333,6
67,334,4
67,335,3
67,336,4
67,337,30
67,338,4
67,339,4
67,340,6
67,341,4
67,342,8
67,343,4
67,344,4
67,345,8
67,346,14
67,347,4
67,348,4
67,349,4
67,350,6
67,351,12
67,352,4
67,353,6
67,354,6
67,355,8
67,356,4
67,357,4
358,359,4
360,22,3
361,19,4
362,363,6
364,365,4
364,22,6
364,366,4
367,16,3
368,22,4
369,370,3
369,22,4
371,22,4
372,22,3
372,373,4
372,374,6
372,375,4
376,377,4
376,378,4
376,23,3
376,379,4
380,381,6
380,382,4
383,22,10
384,19,4
385,386,4
387,388,10
387,389,4
387,11,4
390,391,4
392,393,4
394,395,4
396,397,4
398,399,4
400,401,4
400,402,4
400,375,17
400,403,6
400,404,4
400,405,3
400,406,4
400,407,6
400,408,25
400,409,4
400,22,27
400,410,4
400,411,5
400,412,4
400,413,3
400,414,4
400,415,3
400,24,3
400,416,4
400,417,4
418,419,3
420,421,4
422,423,4
424,22,12
425,426,6
427,28,3
428,415,3
428,22,5
428,429,4
430,431,3
432,433,4
434,435,4
436,22,3
437,438,4
439,23,3
439,440,4
441,442,4
443,443,7
444,444,24
445,446,4
447,448,3
449,450,4
451,4,4
452,453,4
454,4,4
455,456,6
455,11,4
457,458,4
459,16,4
460,47,4
461,403,3
461,462,4
463,464,3
465,22,15
466,467,4
468,16,4
469,470,4
471,39,4
472,22,3
473,50,8
474,22,4
474,403,3
475,22,4
476,477,6
478,479,6
478,480,4
478,481,4
478,482,5
478,483,4
478,484,4
478,485,4
478,486,6
478,487,4
478,488,5
478,489,4
478,490,6
478,491,4
478,492,6
478,60,4
493,494,4
495,18,4
496,497,4
498,497,4
498,11,4
499,497,4
500,497,4
501,502,5
503,504,4
503,505,4
503,42,3
503,23,4
503,9,5
506,507,10
508,509,6
508,510,4
508,511,4
508,512,12
508,513,6
508,514,4
508,515,4
508,516,4
508,517,4
508,518,4
508,519,8
508,520,5
508,521,4
508,522,4
508,523,16
508,524,8
508,525,8
508,526,4
508,527,4
508,528,10
508,529,4
508,530,4
508,531,4
532,533,4
532,23,3
532,534,4
535,535,6
536,16,3
537,477,4
538,539,4
540,28,3
541,24,3
542,42,4
405,543,3
544,22,8
545,11,4
545,22,3
545,546,12
545,547,8
545,548,6
545,549,20
550,551,4
550,552,4
550,553,4
550,477,8
550,554,6
550,555,4
550,556,3
550,557,10
558,464,4
558,559,4
558,477,4
558,560,4
558,561,3
562,11,6
563,447,4
564,22,3
565,566,6
565,567,6
568,569,5
570,571,3
572,373,4
573,22,5
574,412,7
575,576,3
577,578,4
579,580,3
581,22,3
582,583,6
584,23,3
585,586,8
587,588,4
589,415,3
590,591,3
592,593,4
594,47,4
594,64,3
595,67,8
595,596,4
597,598,3
599,600,3
601,601,3
602,603,6
604,20,4
605,606,4
605,607,4
605,608,3
605,609,4
610,477,4
553,611,4
553,612,4
553,613,4
553,614,4
553,615,4
553,337,4
616,617,4
616,618,3
619,620,4
619,621,3
619,57,4
619,9,9
622,22,4
622,410,4
623,624,4
625,16,4
626,627,4
628,629,3
630,631,3
630,16,10
630,632,4
630,633,4
630,634,4
630,20,4
635,57,3
636,637,4
638,477,4
639,640,3
641,593,3
642,431,7
643,16,9
643,632,4
644,386,10
645,557,4
646,647,3
648,649,3
650,9,3
651,22,7
651,57,3
652,653,4
654,593,3
655,16,3
656,426,4
657,593,3
658,659,4
658,407,6
658,660,12
658,22,7
658,653,4
658,366,7
658,374,4
661,67,4
662,663,4
664,386,8
665,666,8
667,668,8
667,669,8
667,670,5
667,58,4
667,671,4
667,672,4
667,673,4
667,416,3
667,674,4
667,675,4
667,659,6
667,21,8
667,676,4
667,23,19
667,677,3
667,678,3
667,679,3
667,680,4
667,681,4
667,682,6
667,683,3
667,594,3
667,684,4
667,685,84
667,686,4
667,687,6
667,688,7
667,689,4
667,690,8
667,691,4
667,692,4
667,693,3
667,694,11
667,695,8
667,60,16
667,696,4
667,697,3
667,698,4
667,699,4
667,700,3
667,701,3
667,702,24
667,22,43
667,703,3
667,704,4
667,705,6
667,706,3
667,707,3
667,40,4
667,708,5
667,709,3
667,710,4
667,711,3
667,712,4
667,713,8
667,408,12
667,714,3
667,715,3
667,716,10
667,717,4
667,718,5
667,666,14
667,719,4
667,720,3
667,721,4
667,722,10
667,723,4
667,724,4
667,725,10
667,404,3
667,726,6
667,727,5
667,728,3
667,729,4
667,730,4
667,731,4
667,732,4
667,733,28
667,734,6
667,735,3
667,736,4
667,737,4
667,738,3
667,739,4
667,740,4
667,57,3
667,741,3
667,742,4
667,743,14
667,744,40
667,745,4
667,50,3
667,746,3
667,747,4
667,41,3
667,748,6
667,413,3
667,749,4
667,750,4
667,751,6
667,752,3
753,11,6
754,755,4
754,756,3
754,23,4
754,757,7
758,759,6
758,7,6
758,393,4
760,16,4
761,16,8
762,403,3
763,42,10
764,552,4
765,67,4
766,767,4
768,337,4
768,431,6
769,770,4
771,22,3
771,667,6
771,23,3
772,773,4
774,775,4
776,403,3
777,778,3
779,780,4
779,50,12
779,781,4
782,689,4
783,784,4
785,786,4
787,788,4
787,789,4
787,790,8
791,792,11
793,408,6
793,22,4
794,795,4
796,797,3
796,22,4
798,799,4
800,28,5
800,22,8
800,801,6
800,57,3
802,24,4
803,28,3
804,805,3
806,807,4
808,19,6
809,810,3
811,22,5
812,16,4
813,19,4
342,227,3
814,373,4
814,22,4
814,815,5
814,24,3
816,817,3
818,819,4
820,22,7
820,821,6
822,373,4
822,823,3
822,410,6
822,64,5
822,824,4
822,660,4
822,22,27
822,825,3
822,412,7
822,374,4
822,365,6
822,801,4
822,467,4
822,826,6
822,827,4
822,795,4
822,401,4
822,407,12
822,828,8
822,366,6
822,39,3
822,829,3
830,690,4
831,832,4
831,559,4
831,431,3
831,23,4
831,477,4
833,415,3
673,834,4
673,403,4
673,835,3
673,836,4
673,28,5
673,42,4
837,838,4
839,840,3
839,841,3
839,407,10
839,842,4
839,741,4
839,22,10
839,843,4
839,844,4
839,845,3
839,846,4
839,847,3
839,848,4
849,850,4
851,852,14
853,24,4
854,7,4
854,593,3
855,856,4
857,858,3
857,859,4
857,860,6
857,678,3
857,861,4
857,862,4
857,863,6
857,742,4
857,672,4
857,864,4
857,865,4
857,866,3
857,867,4
857,868,4
857,869,6
870,370,6
870,64,6
870,43,4
871,872,4
873,874,4
875,876,10
877,878,4
877,879,4
880,16,4
881,882,8
883,659,12
883,884,4
885,886,8
887,33,4
888,889,7
890,370,3
891,892,4
893,894,3
893,895,4
896,16,4
897,898,3
897,9,7
899,898,3
900,801,3
900,22,12
900,411,6
900,901,4
902,903,4
904,905,4
906,64,3
907,908,4
907,33,4
907,909,4
910,67,4
911,67,4
912,913,3
914,915,3
916,370,4
916,507,4
917,918,4
919,920,6
921,16,3
922,923,4
924,20,4
925,403,3
926,926,4
926,927,13
926,928,3
928,929,3
928,927,9
930,931,4
930,932,3
933,934,4
935,16,4
935,936,4
937,403,3
938,939,4
940,22,9
940,64,3
940,941,4
940,848,6
942,23,3
942,9,3
943,412,3
944,23,3
945,827,4
945,59,4
945,54,5
945,403,4
946,947,4
946,948,3
946,949,4
946,348,4
946,950,3
946,337,4
951,403,3
952,953,8
954,955,3
954,485,4
954,956,4
954,957,4
958,464,3
959,464,3
960,67,8
961,22,4
962,963,4
964,965,3
966,967,4
968,969,4
970,971,4
972,973,3
974,647,12
975,33,4
976,977,3
978,978,4
978,979,6
980,981,4
982,373,4
982,412,6
983,984,4
985,984,4
986,987,4
986,480,6
986,988,3
986,989,4
990,984,4
991,28,3
992,984,4
993,994,4
995,370,4
996,997,4
998,819,4
999,426,4
999,1000,6
1001,1002,4
1003,1004,5
1003,973,3
1005,795,4
1006,447,3
1006,1007,3
1008,386,4
1009,1010,4
1011,1012,4
1013,1014,6
1015,1016,4
1017,11,5
1018,1019,4
1020,16,3
1021,1022,3
1023,1024,4
1025,1026,4
1027,22,4
1028,1029,4
1028,1030,6
1031,399,4
1032,28,3
1033,11,4
1034,1035,4
1036,1037,4
1038,1039,3
1040,16,3
1041,464,3
1042,16,11
1043,1044,8
1045,24,3
1046,1047,4
1048,1049,4
1048,57,22
1050,1051,4
1052,1053,4
1054,1055,4
1054,552,4
1054,1056,4
1054,1057,4
1054,477,8
1054,1058,4
1054,22,4
1054,1059,5
1054,1060,13
1054,9,8
1061,1062,3
1063,553,4
1063,477,6
1063,9,15
1064,1065,5
1066,24,4
1067,1068,3
1069,898,4
1070,1071,4
1072,497,4
1073,426,4
1074,28,4
1075,22,8
1076,1077,6
1076,33,4
1078,24,4
1079,477,4
1080,22,40
1081,1082,3
1083,397,4
1084,1085,6
1084,1086,4
1084,20,4
1087,16,11
